,Unnamed: 0,text,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7,aspect8,aspect9
61,61,giao hàng nhanh_chóng 10h tối thứ tư đặt_hàng chiều thứ 6 giao tới mở xem hàng xem tới hộp nguyên seal an_tâm tuy_nhiên máy kích_hoạt bảo_hành tháng liên_hệ hổ trợ nhận giải_đáp bảo_hành đầy_đủ thời_gian mang hoá_đơn điện_tử đến_nơi bảo_hành tặng coupon điện_thoại đẹp tuyệt_vời chơi game mua hàng app thương_mại_điện_tử nhanh phần bắt sóng wifi hiển_thị yếu vạch kết_nối ổn hay cấu_hình hiển_thị như_vậy ảnh_hưởng chất_lượng bắt sóng wifi nhỉ pin đối_với ổn dùng 4g xài sáng tới chiều liên_tục củ sạc nhanh tầm tiếng đầy tặng ốp lưng kèm trong hộp tuy_nhiên camera xấu thật_sự camera xài app nó xấu luôn á giá_như ổn đòi_hỏi cam chỉnh chỗ chụp chuyên_nghiệp chỗ chụp ảnh 48mp tuy_nhiên dung_lượng lớn tẹo hình xấu như_thường ánh_sáng đấy đủ chụp ổn dung_lượng ảnh nhỏ camera 12mp thua xa cam 13mp j7 pro dùng 3 năm ngoài màn_hình làm rơi tí trục_trặc chức_năng khác tới giờ ổn luôn camera pop up khởi_động nó ồn hi_vọng vsmart giữ phong_độ nâng_cấp xíu camera ủng_hộ hàng việt,1,1,1,1,0,1,1,0,0
62,62,phiên_bản màu xám mã ll nguyên seal active đóng_gói cẩn_thận giao hàng nhanh tiếp_tục ủng_hộ hàng bán phân_phối,0,1,0,1,0,0,0,0,0
63,63,đầu_tiên giao hàng nhanh sản_phẩm tốt bằng sắt cứng_cáp khớp cững tuy_nhiên phần đế nối có_vẻ nhìn yếu dùng một thời_gian mới biết độ bền,0,0,0,1,0,0,0,1,0
64,64,dùng tốt hđh hay lỗi vớ_vẩn,0,0,1,0,0,0,0,0,0
65,65,tháng sử_dụng điện_thoại ám vàng thế làm_sao ạ,0,1,0,0,0,0,0,0,0
66,66,đẹp chắc_chắn giao hàng đóng_gói chuẩn,0,1,0,1,0,0,1,0,0
67,67,hý hửng nhận máy mở check thi camera lỗi thò thụt chụp ảnh dc thất_vọng,1,0,0,0,0,0,0,0,0
68,68,đẹp chính hãng mạnh_mẽ kiểm_tra lỗi,0,1,1,0,0,1,0,0,0
69,69,điện_thoại xs max phiên_bản quốc_tế giao hàng đúng hạng phát_sinh lỗi hy_vọng thử ổn happy,0,0,0,0,0,0,1,0,0
70,70,thứ mua đúng 2711 giao nhanh happy,0,0,0,1,0,0,0,0,0
71,71,đến hiên dùng mượt,0,0,1,0,0,0,0,0,0
72,72,giá tốt nhất thị_trường hình_thức trả hsbc đặt mua 2h sáng chọn giao hàng tiêu_chuẩn tự kiến giao ngày 10 tiếng hàng tới tận_tay highly recommended,0,0,0,1,1,0,0,0,0
73,73,hàng_hoá oke,0,0,0,0,0,0,0,0,1
74,74,giao hàng nhanh máy dùng ổn,0,0,0,1,0,0,0,0,0
75,75,hàng nguyên silk nguyên tem giá rẻ nhất thị_trường máy dùng mượt_mà ai dùng vsmart biết về chất_lượng dịch_vụ kèm tốt giao hàng nhanh,0,1,1,1,0,0,0,0,0
76,76,chuẩn hàng việt_nam xài mượt_mà giao hàng nhanh,0,0,1,1,0,0,0,0,0
77,77,pin tụt nhanh,1,0,0,0,0,0,0,0,0
78,78,ủng_hộ hàng vn ủng_hộ bác vượng mong sau_này ngành sản_phẩm bàn_tay người việt trong ngon dù một_số lỗi hoàn_thiện giá tuyệt_vời,0,0,0,0,1,0,0,0,0
79,79,giao hàng nhanh máy đóng bọc cẩn_thận nhận máy bụi màn_hình máy mới không_thể mong giải_quyết giúp,1,0,0,1,0,0,0,0,0
80,80,máy đẹp cảm_ứng mượt_mà màu_sắc đẹp dung_lượng bộ_nhớ lớn tặng kèm ốp lưng mua giá khuyến_mãi rẻ ngoài thị_trường giao hàng nhanh cảm_ơn,0,1,1,1,1,0,0,1,0
81,81,giá tốt thụ_trường,0,0,0,0,1,0,0,0,1
82,82,đẹp trong tầm giá máy ngon,0,1,0,0,1,0,0,0,0
83,83,máy chạy ngon_lành bao bền,0,0,0,0,0,0,0,0,0
84,84,mua giá 17 trđ hài_lòng ng a,0,0,0,0,1,0,0,0,0
85,85,giao hàng nhanh_chóng dù dùng tikinow sản_phẩm ngoại quan đẹp kích_hoạt bảo_hành ngày đặt_hàng,0,1,0,1,0,0,0,0,0
86,86,giao hàng nhanh rõ_ràng đặt màu trắng gửi màu xanh 4 sản_phẩm xài biết trả_lời,0,1,0,1,0,0,1,0,0
87,87,giao đúng hình bán khác màu luôn,0,1,0,0,0,0,0,0,0
88,88,loa nhỏ mở to rè biết máy hay lỗi,1,0,0,0,0,0,0,0,0
89,89,máy dùng ổn_định bộ_nhớ_trong tốc_độ ram phù_hợp giá_trị máy tính_năng phục_vụ công_tác văn_phòng,1,0,1,0,0,0,0,0,0
90,90,san phẩm giong mơ ta toi hai_long,0,0,0,0,0,0,0,0,0
91,91,máy đẹp mới lun,0,1,0,0,0,0,0,0,0
92,92,sài ok nè test đặt mua,0,0,0,0,0,0,0,0,1
93,93,hàng tốt giá_cả hợp_lý,0,0,0,0,1,0,0,0,0
94,94,gọi call tiếng vọng khó_chịu,1,0,0,0,0,0,0,1,0
95,95,giao nhầm màu sp,0,1,0,0,0,0,0,0,0
96,96,ưu_điểm chọn loại giao hàng nhanh trời mưa giao đúng hẹn ướt hư_hỏng điện_thoại đẹp chắc đẹp nhất trong dòng android đến giờ xài hiệu dùng đánh_giá chắc_ăn tạm_thời thứ mượt_mà camera đẹp hiển_thị tốt vui chỗ cảm_ứng vân tay dời đúng chỗ nhược_điểm mẫu màu đen rõ vân tay case,1,1,1,1,0,0,0,0,0
97,97,giao hàng nhanh sản_phẩm tốt,0,0,0,1,0,0,0,0,0
98,98,máy nguyên siêu tốt sử_dụng ổn cấu_hình tương_đối khoẻ,1,0,1,0,0,1,0,0,0
99,99,máy nguyên seal tạm_thời lỗi kiểm_tra đc bảo_hành điện_tử,0,0,0,0,0,1,0,0,0
100,100,giao hang trong vong 30p may chinh hang tin dung cam on,0,0,0,0,0,0,0,0,0
101,101,tôi hài_lòng sản_phẩm,0,0,0,0,0,0,0,0,1
102,102,cứng_cáp đỡ ipad hàng chất_lượng giao hàng nhanh mặc_dù đặt giao 2h,0,0,0,1,0,0,0,0,0
103,103,hàng nhận nguyên seal gói chống sock cực tốt cảnh_báo dễ vỡ đầy_đủ máy mới chạy ổn pin cực ổn ít theme nhận_dạng gương_mặt vân tay nhanh giật lag,1,0,1,1,0,1,0,0,0
104,104,đầu_tiên mua sản phẩm giá_trị lớn thế_này lo_lắng nhận sản_phẩm xong hài_lòng kiểm_tra test nhận hàng thứ ok dùng 3 ngày vấn_đề bảo_hành biết tốt,0,0,0,0,0,0,0,0,1
105,105,chân sút hẳn đứng đề_nghị trả hàng hoàn tiền,0,0,0,0,0,0,0,0,1
106,106,dang xai dien thoai ok good,0,0,0,0,0,0,0,0,0
107,107,giao hàng ok đấy chất_lượng dùng mới biết dc,0,0,0,0,0,0,0,0,0
108,108,giao hàng chậm điện_thoại dùng tạm ổn,0,0,0,1,0,0,0,0,0
109,109,cảm_ứng yếu loading chương_trình cơ_bản youtube google chậm khoảng phút tiền nấy bạn hãy chọn_lựa dòng sản_phẩm cao sử_dụng sản_phẩm tốt ý_kiến cá_nhân,1,0,1,0,0,0,0,0,0
110,110,hàng vna new seal kích_hoạt,0,0,0,0,0,1,0,0,0
111,111,sản_phẩm cực ổn_định trong mức giá_sử_dụng ổn pin dùng lâu giao hàng nhanh nguyên seal thiết_kế kim_loại hiện_đại dù khuyết_điểm nhỏ mặt lưng dễ bám mồ_hôi vân tay,1,1,1,1,1,1,0,1,0
112,112,bài lòng sản_phẩm,0,0,0,0,0,0,0,0,0
113,113,san pham ok dap ung tot nhu cau co ban anh chj em nao co nhu cau mua cac be su dung thi nen mua,0,0,0,0,0,0,0,0,0
114,114,giao đúng giờ,0,0,0,1,0,0,0,0,0
115,115,dùng tuần hài_lòng về chất_lượng máy máy nguyên seal active bản us giá rẻ khác,0,1,0,0,1,1,0,0,0
116,116,giao hàng nhanh sản_phẩm ok,0,0,0,1,0,0,0,0,0
117,117,sản_phẩm đầy_đủ máy mới nguyên đai nguyên kiện nói_chung hài_lòng hài_lòng ở khâu vận_chuyển mặc_dù vỏ hộp dán hàng dễ vơ nhận hàng hộp móp mở hộp điện_thoại móp nhẹ sử_dụng dich vụ gần 3 năm gần bản_thân đc hài_lòng lắm,0,0,0,1,0,1,1,1,0
118,118,đúng hàng vn giao hàng nhanh_chóng nhân_viên nhiệt tính sản_phẩm tốt,0,0,0,1,0,1,0,0,0
119,119,sử_dụng now nhận hàng nhanh đóng_gói cẩn_thận hoá_đơn gửi kèm email luôn hàng chuẩn,0,0,0,1,0,0,0,0,0
120,120,điểm mạnh pin trâu giá rẻ điểm yếu màn fhd đc đẹp lắm kiểu màu_sắc nhạt kéo_theo camera chụp hình đẹp quay video đẹp bắt wifi sóng sim yếu độ sáng màn_hình tối pin 5k xài 4k,1,1,1,0,1,0,0,0,0
121,121,hiện_tại ưng_ý chất bạn ạ,0,0,0,0,0,0,0,0,1
122,122,hàng chất_lượng,0,0,0,0,0,0,0,0,1
123,123,sản phầm hd2019 trông cứng_cáp,0,0,0,0,0,0,0,0,1
124,124,máy chuẩn chất_lượng tốt giao hàng nhanh dự_kiến,0,0,0,1,0,1,0,0,0
125,125,đơn hàng tôi 236592620 cục adapter hoạt_động gắn adapter khác mới sạc đề_nghị đổi giúp tôi cục adapter khác điện_thoại dùng tốt bình_thường,0,0,0,0,0,0,0,1,0
126,126,ngon bổ rẻ,0,0,0,0,0,0,0,0,1
127,127,sản_phẩm mô_tả,0,0,0,0,0,0,0,0,0
128,128,thứ ngon_lành mua về cập_nhật tháng máy nóng sạc pin sạc nhanh,0,0,0,0,1,0,0,0,1
129,129,sản_phẩm quảng_cáo đóng_gói cẩn_thận rẻ cấu_hình,0,1,0,1,1,0,0,0,0
130,130,giá sp không_thể chê đâu,0,0,0,0,1,0,0,0,0
131,131,mới nhận máy hồi sáng giao xuyên tỉnh đầy 24 tiếng bước_đầu oke hết r h chờ thời_gian trả_lời thôi,0,1,0,1,0,1,0,0,0
132,132,giao hang nhanh hon du kien kich boat bao hang luc no may luon vote 5,0,0,0,0,0,0,0,0,0
133,133,rành chọn mua trading yên_tâm hàng nguyên seal nha kích_hoạt bảo_hành lun tạm_thời ngon lỗi j,0,1,1,0,0,0,0,0,0
134,134,giao đúng hàng máy nguyên seal tốt chê màn xấu dùng đọc pdf oke pin tốt ai dùng liên_kết tài_khoản amz restart ngẫu_nhiên web amz máy_tính mục device deactive máy đi máy nhớ bắt wifi đồng_bộ xong mở kindle log in hết bệnh cài ch play cài cắm thẻ sd cài xong chạy ngon hãy cắm sd thẻ ở extenal nha internal recomend ch play lỗi khởi_động nha chặn quảng_cáo ở lock screen dùng automate nha root ai muốn unlock bl root twrp xda lắm fireos xấu nhẹ custom rom tắt update ota enable dev mode xong tắt nha hết,0,1,0,1,0,1,0,0,1
135,135,dùng sp tuần lỗi tình_trạng máy hoạt đông ổn pin biết bền hay cảm_thấy hài_lòng,0,0,1,0,0,0,0,0,1
136,136,trading giao hàng nhanh máy nguyên seal thiết_kế đẹp nch ổn trong tầm giá 3tr chất_lượng tg sử_dụng mới đánh_giá đánh_giá 5 vin,0,1,0,1,0,1,0,0,0
137,137,ban_đầu ốc vít lưng sài tháng ốc hư coi tháo sim đc sad,0,0,0,0,0,0,0,0,1
138,138,tôi mua 02 điện_thoại tuần reakme 6 samsung a71 hai đẹp riêng realme 6 tai nghe đi kèm hay đóng thiếu đề_nghị tạo mục hay công_cụ khách_hàng chat hoặc gọi điện đên,0,1,0,0,0,0,0,1,0
139,139,yếu dễ điều_chỉnh,0,0,1,0,0,0,0,0,0
140,140,hàng sài ok thoải_mái bin traiu ok thanh_toán môm giảm tiền nua,0,0,0,0,0,0,0,0,0
141,141,xài tốt máy mã ll,0,0,0,0,0,0,0,0,1
142,142,thiết_kế đẹp tích_hợp công_nghệ hay giá hợp_lý,0,1,0,0,1,0,0,0,0
143,143,máy nguyên seal hàng nhập mỹ tốt active đặt tối cn sáng thứ 3 giao lịch dự_kiến 1612 mới giao,0,1,0,1,0,1,0,0,0
144,144,ram 1gb xử_lý tác_vụ mượt trợ_lý ảo voice chuẩn giọng us loa toa êm cam chán vs giá tiền đòi_hỏi,1,0,1,0,1,0,0,0,0
145,145,sản_phẩm chắc_chắn gập gọn tiện_lợi,0,0,0,0,0,0,0,1,1
146,146,sp tot voi gia sp tot voi gia sp tot voi gia sp tot voi gia sp tot voi gia,0,0,0,0,0,0,0,0,0
147,147,một sản_phẩm cực chất màn_hình lớn mượt pin xài lâu chức_năng hữu_ích bạn muốn chơi game mua em bán nó sướng tôi thật_sự hài_lòng mua hàng ở lời khen cách phục_vụ bạn,1,0,1,0,0,0,1,0,0
148,148,chắc_chắn chốt nhựa lắp lệch,0,0,0,0,0,0,0,0,1
149,149,kén tai nghe tai apple nhận loa nhận mic liệu lỗi sản_phẩm,0,0,0,0,0,0,0,1,1
150,150,sản_phẩm chính hãng giao đúng màu giá hợp_lý giao hàng chậm web thông_tin điện_thoại vivo y30i 4gb128gb hàng chính hãng sản_phẩm vivo y30i 4gb64gb chính hãng điều_chỉnh thông_tin web đúng thực_tế sản_phẩm bán,0,1,0,1,1,1,0,0,0
151,151,máy chính hãng phân_phối digiworld màu xanh lá đẹp pin tốt sử_dụng mượt tặng kèm ốp silicon trong suốt giờ hài_lòng về sản_phẩm,1,1,1,0,0,1,0,1,0
152,152,sạc mua c rút sạc cháy hỏng sử_dụng kiểu trẻ cầm bỏng hoặc giật điện mất,0,0,0,0,0,0,0,1,0
153,153,hàng chính hãng ok giá hôm_qua tốt hôm_nay muốn mua 1c,0,0,0,0,1,1,0,0,0
154,154,sp y hình nguyên seal nguyên nó nghĩ động hàng lớp xốp bên trong lớp giấy,0,0,0,0,0,0,0,0,0
155,155,điện_thoại nhanh mượt ngon trong tầm giá cảm_ơn vsmart,0,0,1,0,1,0,0,0,0
156,156,mua dc tuần sài ok mượt_mà,0,0,1,0,0,0,0,0,0
157,157,sản_phẩm đẹp gọn_nhẹ,0,1,0,0,0,0,0,0,0
158,158,dùng tuần nói_chung ổn vân tay khuôn_mặt camera chơi game tốt có_điều nhận seal dán máy đặt ở một tấm nilon khác lỗi lưu kho khó_chịu,1,0,1,1,0,0,0,0,0
159,159,điện_thoại nóng sử_dụng pin nhanh hết bắt_đầu sử_dụng pin 100 3h hết sạch pin trong quảng_cáo pin xem phim liên_tục 13h đề_nghị liên_hệ gấp xử_lý giúp tôi chân_thành cảm_ơn,1,0,0,0,0,0,0,0,0
160,160,giao hàng chậm rùa 3 ngày mới nhận dc hàng sp xấu tệ thứ bộ_nhớ tạm cảm_biến la_bàn,1,1,0,1,0,0,1,0,0
161,161,tôi hài_lòng sản_phẩm ipad air 3 mua g,0,0,0,0,0,0,0,0,1
162,162,ở hà_nội giao hàng sgn mất 4 ngày về chất_lượng sản_phẩm ưng hàn chính hãng đóng_gói chắc_chắn,0,0,0,1,0,1,0,0,1
163,163,chua dung nhung cu danh_gia 4,0,0,0,0,0,0,0,0,0
164,164,điện_thoại đẹp lắm ạ vote 5,0,0,0,0,0,0,0,0,0
165,165,sản_phẩm tốt xứng_đáng trong tầm giá 3tr ủng_hộ hàng việt,0,0,0,0,1,0,0,0,0
166,166,hình giống thực_tế,0,0,0,0,0,0,0,0,1
167,167,tốt trong tầm giá song bắt yếu máy khác,0,0,1,0,0,0,0,0,0
168,168,giá 2590000 đồng vivo y11 lựa_chọn hợp_lí,0,0,0,0,0,0,0,0,1
169,169,con kindle cũ dùng 5 năm rưỡi hư mua mới đợt hàng mới khác dễ dùng link tài_khoản cũ hình kindle cũ tiện thích một_số điểm mới tìm_hiểu kindle fire thực_sự lý_tưởng nhu_cầu đọc sách một_số thao_tác search đơn_giản chủ_yếu đọc lệ_thuộc giải_trí thực_sự thích kindle,0,0,1,0,0,0,0,0,1
170,170,mền chào đầu_tiên mua hàng cảm_nhận đầu_tiên phục_vụ tốt khâu cskh đến khâu khác tuy_nhiên sp nhận về đt vsmart joy 3 tất_cả ok có_điều lắp sim máy nhận báo thẻ sim màn_hình hay tối mặc_dù chỉnh độ sáng cảm_nhận mong hỗ_trợ giải_quyết giúp ạ cảm_ơn chúc ngày_càng kh hơn_nữa,1,0,0,0,0,0,1,0,0
171,171,sản_phẩm chính hãng xài tốt tốc_độ máy chấp_nhận giá sản_phẩm giao hàng nhanh,0,0,0,1,0,1,0,0,0
172,172,đóng_gói cẩn_thận giao hàng sớm dự_kiến ngày check bh đúng năm tính ngày đặt_hàng hàng nguyên seal bọc lớp bóng kính hiện_tại đt xài tốt vấn_đề hãng dán sẵn miếng dán màn_hình r thích đỡ fải mua miếng dán cảm_ơn tiếp_tục ủng_hộ,0,0,0,1,0,1,0,1,0
173,173,hàng giá_trị cao móp vỏ hộp làm giá_trị giảm xuống hẳn complain phản_hồi tổng_đài nhân_viên xử_lý vui_vẻ,0,1,0,1,0,0,1,0,0
174,174,ngon bổ rẻ,0,0,0,0,0,0,0,0,0
175,175,hình_ảnh trang bán sim đặt gấp để_ý thông_tin sản_phẩm sim đổi trả hình_ảnh sản_phẩm gây nhầm_lẫn,1,0,0,0,0,0,0,0,1
176,176,máy tạm ổn mua đc tới tuần xài thử xem máy chạy nhanh camera bao đỉnh nhẹ đẹp tiếc hết màu trắng huhuhuhuhuhu nowship ở q1 hết 40k nhận đc hàng trong 3h đáng,1,0,1,1,0,0,0,0,0
177,177,giao hàng nhanh đóng_gói kỹ_càng trầy_xước sản_phẩm check mã chính hãng hàng mới full hộp dấu_hiệu khui mua ở giá rẻ an_toàn tiện lơi mới sử_dụng lỗi phát_sinh,0,1,0,1,1,1,0,0,0
178,178,hàng nguyên seal dùng ổn_định lỗi_lầm,0,1,1,0,0,1,0,0,0
179,179,nhận sản_phẩm ipad air 2019 đóng_gói cẩn_thận hàng nguyên hộp tự kích_hoạt bảo_hành cảm_ơn,0,0,0,1,0,0,0,0,0
180,180,mua điện_thoại dùng tuần sạc cáp hư liên_hệ tổng_đài mới biết bảo_hành phụ_kiện người lưu_ý cân_nhắc,0,0,0,0,0,0,1,1,0
181,181,đóng_gói kỹ hộp nguyên seal khởi_động máy kích_hoạt bảo_hành thành_công máy dày chút biết đọc thông_số máy có_lẽ pin lớn 5000 mpa máy màn_hình đẹp độ sáng tốt dùng trong nhà_máy mua phát_hiện lỗi màn_hình camera chính thử chụp ban_ngày ok chi_tiết tốt camera selfie đẹp lố rành về đánh_giá camera chất_lượng hài_lòng tầm giá hối_tiếc mua máy,1,1,0,1,1,1,0,0,0
182,182,hàng chính hãng mã vna active giá tốt giao hàng nhanh vấn_đề phát_sinh,0,0,0,1,1,1,0,0,0
183,183,nhận máy ngày 07082020 check máy kích_hoạt bảo_hành ngày 26072020 mong phản_hồi sớm,0,0,0,0,0,0,0,0,1
184,184,đầu chọn mua sp điện_thoại hồng hạnh mobile hấy bên uy_tín người test máy tuần h mới đánh_giá cl sp ngon luôn thanks,0,0,0,0,0,0,1,0,0
185,185,nguyên seal pin trâu máy ngon trong tầm giá giao hàng nhanh,1,0,0,1,1,1,0,0,0
186,186,nhận hàng lỗi nhân_viên giao hàng tốt,0,0,0,1,0,0,0,0,0
187,187,giao hàng nhanh hàng chính hãng samsung,0,0,0,1,0,1,0,0,0
188,188,sản_phẩm tốt hợp túi_tiền tư_vấn hỗ_trợ khách_hàng tốt recommend,0,0,0,0,1,0,1,0,0
189,189,giao hàng lâu,0,0,0,1,0,0,0,0,0
190,190,dịch_vụ giao hàng càng_ngày_càng kém 5 sản_phẩm 0 shipper đặt giao hàng 3h giao trễ gọi hối cuộc shipper bảo nói giao tới bảo anh ở địa_chỉ xong bảo anh nhầm đường trong đường kêu nhầm bên gần 30p shipper đâu bận đi công_chuyện nhà người lấy giùm bỏ ở nhà canh lấy hàng chán,0,0,0,1,0,0,1,0,0
191,191,đẹp hài_lòng,0,1,0,0,0,0,0,0,0
