,text,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7,aspect8,aspect9
53,đẹp ơi hàng đúng chính hãng luôn chức_năng hoạt_động tốt màn_hình cảm_ứng nhạy màu_sắc rực_rỡ camera chụp ảnh đẹp nói_chung hoàn_hảo lắm giao hàng chất_lượng đúng quảng_cáo an_tâm sử_dụng sản_phẩm,1,1,1,0,0,1,0,0,0
54,máy đẹp đặt mua nhé,0,1,0,0,0,0,0,0,0
55,thật hài_lòng nhận sản_phẩm máy đẹp hoạt_động ổn_định cấu_hình mạnh màn_hình cảm_ứng nhạy màu_sắc rực_rỡ mong_đợi giao hàng nhanh đúng hẹn chất_lượng đúng quảng_bá thật đáng đồng_tiền cảm_ơn nhé,1,1,1,1,1,0,0,0,0
56,hoàn_thiện sản_phẩm đẹp màu_sắc rực_rỡ cấu_hình mạnh_mẽ chức_năng cơ_bản hoạt_động tốt ổn_định màn_hình sáng đẹp âm_thanh hay cảm_ứng lướt êm nhạy sản_phẩm thật hoàn_hảo giao hàng đúng quảng_cáo thật hài_lòng vừa_ý,1,1,1,0,0,0,0,0,0
57,máy ok chút vấn_đề nhỏ tư_vấn nhiệt_tình ủng_hộ dài_dài 3,0,0,0,0,0,0,1,0,0
58,điện_thoại nguyên hộp xài mượt rep lâu,0,1,1,0,0,0,0,0,0
59,hàng tốt lắm mọi người ạ mong hậu_mãi tốt như_thế ủng_hộ lâu_dài,0,0,0,0,0,0,0,0,0
60,đóg gói kĩ nhưg đi xa giao hàng quăg ném thàh hộp nó zị nhiệt_tình thích cách tư_vấn ủng_hộ nhoa,0,0,0,0,0,0,0,0,0
61,sản_phẩm đẹp máy sạc khoang 100 linh_kiện zin tuyệt_vời,0,0,0,0,0,0,0,0,0
62,giá máy ok vấn_đề về pin thôi minh test 2ngay pin thế_nào tks nhiệt_tình thẻ bảo_hành máy,0,0,0,0,0,0,0,0,0
63,mua giao_kèo kỹ_càng đến nhận hàng màn_hình nứt nhoe biết hay giao hàng báo ai liên_lạc,0,0,0,0,0,0,0,0,1
64,sản_phẩm tốt nha mua tiếc chút đâu,0,0,0,0,0,0,0,0,1
65,giao hàng đúng chuẩn luôn chức_năng ổn_định cấugiá hợp à s lòng vừa_ý m_ơn giao hàng đúng mong_đợi,0,0,0,0,0,0,0,0,0
66,thật tuyệt chất_lượng tốt đúng quảng_bá hoàn_thiện đến chi_tiết uy_tín giao hàng đúng hẹn sản_phẩm đẹp chê đâu hài_lòng lắm giới_thiệu bạn_bè người_thân ủng_hộ,0,1,0,1,0,0,1,0,0
67,chất_lượng sản_phẩm tốt tiếp_tục ủng_hộ meme,0,0,0,0,0,0,0,0,1
68,giao hàng nhanh chất lương sp tốt shsjkdkdkjfnfjdldjd,0,0,0,0,0,0,0,0,0
69,uy_tín giao hàng đúng hẹn máy chất_lượng đúng quảng_cáo phong_h m_việc chuyên_nghiệp máy đẹp chức_năng chạy mạnh màu_sắc màn_hình sáng trong nói_chung hài_lòng luôn ủng_hộ một dành tuyệt,1,1,1,1,0,0,1,0,0
70,giao hàng 9 ngày hàng nhật vỏ móp méo máy bên trong bọc bằng lớp bóng máy mầu xám nhận thành mầu xanh dù vỏ mầu xám chắc mắt m vấn_đề máy bên trong lớp seal bóc cảm_giác máy new 00 nói_chung chất lg vs thời_gian chờ_đợi hài_lòng,0,1,0,1,0,1,1,0,0
71,máy dùng lác thôi trắc máy lâu,0,0,0,0,0,0,0,0,0
72,máy đẹp cấu_hình mạnh chơi game lướt web mượt cảm_ơn giao hàng đúng quảng_cáo giới_thiệu người_thân bạn_bè ủng_hộ anh chi em mua hàng 5,1,1,1,0,0,0,0,0,0
73,giao hàng nhanh đúng chủng_loại test máy tạm_thời ok,0,0,0,1,0,0,0,0,0
74,cảm_ơn điện_thoại ngoại_hình đẹp pin tốt tiếc thời_gian chụp hình mua ba mua điện_thoại ở uy_tín,1,1,0,0,0,0,1,0,0
75,sản_phẩm oke lắm hài_lòng về sản_phẩm tuyệt_vời phục_vụ chu_đáo,0,0,0,0,0,0,1,0,0
76,5 giao nhanh chất_lượng đánh_giá tiếp,0,0,0,1,0,0,0,0,0
77,máy đẹp cấu_hình mạnh_mẽ chơi game nặng lướt web chạy êm chức_năng ổn_định pin trâu hài_lòng phục_vụ tâm vui_vẻ nhiệt_tình chuyên_nghiệp thích về phong_h phục_vụ giới_thiệu bạn_bè đồng_nghiệp ủng_hộ hơn_nữa 5,1,1,1,0,0,0,1,0,0
78,sản_phẩm ok,0,0,0,0,0,0,0,0,0
79,tư_vấn nhiệt_tình giao hàng nhanh dùng đc bàn_phím chập_chờn ăn,0,0,0,1,0,0,1,0,0
80,mua bút tặng ốp bảo_vệ cực xịn chọn máy apple care date tận 2022 xịn sò mới dùng thử máy chạy êm sù seal nilon máy chuẩn xước ở phần vỏ hay viền bùn ipados 4 ạ,0,0,1,0,0,0,1,1,0
81,mua sản_phẩm máy đẹp lắm chất_lượng tốt ứng_dụng hoạt_động bình_ổn màn_hình cảm_ứng sáng màu_sắc rực_rỡ chức_năng cơ_bản hoàn_hảo hài_lòng vừa_ý lắm nhân_viên nhiệt_tình tâm khách_hàng an_tâm sử_dụng sản_phẩm,1,1,1,0,0,0,1,0,0
82,giao nhanh máy mới giới_thiệu bạn_bè,0,1,0,1,0,0,0,0,0
83,phù_hợp trong tầm giá main bẩn tý thôi loa to rõ màn_hình thay r pin mới đánh_giá đk tạm_thời 4,1,1,0,0,1,0,0,0,0
84,giao nhanh tư_vấn chu_đáo tận_tình hàng đc gói cẩn_thận săn sale đc giảm 10 máy chất lươnng dùng tốt quay ủng_hộ,0,0,0,0,0,0,0,0,0
85,điện_thoại cũ xài trầy góc mua công_nhân scan hàng tạm,0,0,0,0,0,0,0,0,1
86,máy ổn mọi thứ dùng ok pin nhanh hết thôi,1,0,0,0,0,0,0,0,0
87,máy mới_toanh đẹp chút trầy_xước dán tặng sẵn cường_lực check bằng phần_mềm toàn_bộ linh_kiện bên trong gin bảo_hành dài yên_tâm mua nhe bà_con 3 ps góp_ý giao hàng xa gói dày ship bắc vô nam hộp móp hết góc luôn,0,0,0,0,0,0,0,0,0
88,nghe gọi mong sản_phẩm ok,0,0,0,0,0,0,0,0,1
89,ok máy đẹp lỗi youtube coi đoạn quảng_cáo văng ngoài,0,1,1,0,0,0,0,0,0
90,máy đẹp hình_thức sang_trọng chức_năng hoàn_thiện test sản_phẩm lỗi thật đáng đồng_tiền_bát_gạo uy_tín giao hàng đúng quảng_cáo nhân_viên nhiệt_tình vui_vẻ tâm khách_hàng chế_độ hậu_mãi rõ_ràng an_tâm sử_dụng sản_phẩm,0,1,1,0,1,0,1,0,0
91,giao hàng nhanh chiều đặt sáng hôm máy đẹp,0,1,0,1,0,0,0,0,0
92,điện_thoại tối trong tầm giá mọi người tham_khảo,0,0,0,0,0,0,0,0,0
93,đóng_gói cẩn_thận hàng đẹp đúng mô_tả,0,1,0,1,0,0,0,0,0
94,màn hinh tối ám vàng cải_thiện,0,0,0,0,0,0,0,0,0
95,thân_thiện giao hàng nhanh máy chính hãng đầy_đủ phụ_kiện,0,0,0,1,0,1,0,1,0
96,chất_lượng sản_phẩm tốt bề_ngoài mới 99 ứng_dụng chạy êm mạnh_mẽ y_phim chụp hình sắt nét test sản_phẩm lỗi hài_lòng cảm_ơn giao hàng đúng quảng_cáo bình_chọn 5,0,0,0,0,0,0,0,0,0
97,tốt trong tầm giá,0,0,0,0,0,0,0,0,0
98,mua dc giá sale máy nguyên seal ứng u đẹp nghĩ check cá thông_số,0,0,0,0,0,0,0,0,0
99,mới sử_dụng ngày hài_lòng chất_lượng sản_phẩm giá_thành ok ship nhanh highly recommend nhaaa,0,0,0,1,1,0,0,0,0
100,máy hình_thức đẹp sử_dụng tốt hiện_tại vde caảaaa,0,0,0,0,0,0,0,0,0
101,hàng đẹp đúng mẫu mua hài_lòng sản_phẩm,0,1,0,0,0,0,0,0,0
102,áp suât con nguyên giá nay thi hông mua con nao ngon ngoại hinh xướt nhẹ man hinh đẹp pin ơ mức đủ dùng nhỏ gọn siêu mỏng tóm_lại qa êm mua,0,0,0,0,0,0,0,0,0
103,đầu mua mạng ưng_ý dễ_sợ thanks nhìu mua hàng dài_dài lun nè,0,0,0,0,0,0,0,0,0
104,đáng mua nhé dịch_vụ chăm_sóc khách_hàng tận_tâm ạ,0,0,0,0,1,0,1,0,0
105,hàng nguyên seal kích_hoạt bảo_hành điện_tử ngày mua có_điều giao hàng lâu đặt 11 11 đến 16 11 mới nhận mua đợt sale 11 11 đc giá tốt,0,0,0,1,1,1,0,0,0
106,hàng ok đóng_gói đẹp,0,0,0,1,0,0,0,0,0
107,giao hàng nhanh một cơn gió grab mia giáo tốt flashsales ok con gà đen lun mọi người ơi,0,0,0,0,0,0,0,0,0
108,shshjdidisj6dyfuvpoctxirrzfk kfxjfzirzjdzbnvhxjdirxkgxktzirsirruzog phvpyctodigxoctob n,0,0,0,0,0,0,0,0,0
109,mới_đầu mua onlai lo_lắng nhận hàng thật tuyệt_vời máy đẹp uy_tín giao hàng quảng_cáo máy sài mượt nghe gọi to rõ_ràng game mượt phụ kiên đầy_đủ tư_vấn nhiệt_tình chu_đáo hài_lòng ghé ủng_hộ,0,0,0,0,0,0,0,0,0
110,sử_dụng sản_phẩm thật_sự tốt hiệu_năng hiệu_ứng chuyển cảnh đẹp test lỗi mua chủ_yếu chơi game chơi game ngon nói_chung tốt perfect,0,0,0,0,0,0,0,0,1
111,nhận hàng ok,0,0,0,0,0,0,0,0,0
112,màn_hình to máy nhìn dep va sang co the thao pin de dang giá_cả phải_chăng 1315kmay diem tru cua no la minh thich cach thiet ke nut ảo o duoi nhin dc cân 3 nút đẹp pin minh thay it va sut rat nhanh nhu kieu pin ảo ấy 5 vi uy tin con chat luong sp 4 thoi,0,0,0,0,0,0,0,0,0
113,hàng chính hãng dùng ok đợi vài bữa mua con,0,0,0,0,0,1,0,0,0
114,giao hàng nhanh chất_lượng tốt,0,0,0,1,0,0,0,0,0
115,sản_phẩm hài_lòng chăm_sóc chu_đáo nhiệt_tình ship hàng hoả_tốc,0,0,0,1,0,0,1,0,0
116,đt kn ngon con nyc luôn,0,0,0,0,0,0,0,0,1
117,máy ok về sớm dự_kiến ngày mỗi_tội bọc chống sốc đc kỹ 5,0,0,0,1,0,0,0,0,0
118,phục_vụ tốt nha mọi người,0,0,0,0,0,0,1,0,0
119,tậm ổn,0,0,0,0,0,0,0,0,0
120,mới nhận mở ok thời_gian mới biết hay trước_tiên hài_lòng sản_phẩm cảm_ơn,0,0,0,0,0,0,0,0,1
121,giá rẻ giao hàng nhanh tuyệt_vời chất_lượng sản_phẩm ok bảo_hành chính hãng,0,0,0,1,1,0,0,0,0
122,máy ok nha coi fim lướt fb thoải_mái giá mên hàng tốt gói cẩn_thận ok,0,0,0,0,0,0,0,0,0
123,chất_lượng đúng quảng_cáo máy chính hãng ứng_dụng hoạt_động hiệu_quả nhanh màn_hình cảm_ứng nhạy màu_sắc đẹp nhìn bắt_mắt camera chụp hình chê o đâu hoàn_thiện tốt giao hàng chuẩn làm hài_lòng lắm mọi người sử_dụng sản_phẩm,1,0,1,0,0,1,0,0,0
124,hàng chính hãng fullbox nguyên seale mua deal giá tốt,0,0,0,0,0,0,0,0,0
125,hài_lòng nhân_viên giao hàng lắm,0,0,0,0,0,0,0,0,0
126,uy_tín giao hàng đúng ngày hẹn sản_phẩm chính hãng test máy xài ổn_định đặc hàng ở cảm_ơn nhé chúc khách_hàng hơn_ 5,0,0,1,1,0,1,1,0,0
127,o o o o o o o o o o o o o io o o io o o,0,0,0,0,0,0,0,0,0
128,tôt ok,0,0,0,0,0,0,0,0,0
129,san pham dep nhu quange cao danh_gia 5 thoi gian giaohang nhanh uy tin san pham dep nhu quange cao danh_gia 5 thoi gian giaohang nhanh uy tin san pham dep nhu quange cao danh_gia 5 thoi gian giaohang nhanh uy tin,0,0,0,0,0,0,0,0,0
130,máy ổn ngoại_hình đẹp bên trong nhìu app rác nhà mạng,0,1,0,0,0,0,0,0,0
131,hàng đẹp chất_lượng chính hãng nguyên hộp đầy_đủ phụ_kiện cảm_ơn giá sales 2tr6 tuyệt_vời,0,1,0,0,1,1,0,1,0
132,máy đẹp cảm_ứng mượt bền chờ thời_gian trả_lời,0,1,1,0,0,0,0,0,0
133,dễ_thương uy_tín giao hàng đúng ngày chất_lượng sản_phẩm quảng_cáo test ứng_dụng hoàn_hảo vừa_ý đặt hàng tặng quà người_thân anh_chị_em mua hàng ở chúc luôn thành_công luôn đông khách 5,0,0,1,1,0,0,1,0,0
134,hàng ok uy_tín mua,0,0,0,0,0,0,0,0,1
135,máy đẹp bề_ngoài mới 99 luôn test máy ứng_dụng êm chụp hình xem phim sắt nét chơi game lướt web oke cảm_ơn giao hàng đúng quảng_cáo tôi hài_lòng giới_thiệu đến bạn_bè người_thân ủng_hộ hơn_nữa bình_chọn 5,1,1,1,0,0,0,0,0,0
136,giao nhanh đóng_gói cẩn_thận hàng nguyên seal kèm hoá_đơn bán hàng tặng sạc dự_phòng chính hãng,0,0,0,1,0,1,1,1,0
137,sản_phẩm tốt mong_đợi hài_lòng ủng_hộ ở đơn hàng tiếp_theo,0,0,0,0,0,0,0,0,0
138,máy đẹp ok nhé mn,0,1,0,0,0,0,0,0,0
139,tư_vấn nhiệt_tình máy_tính bảng nhận ngoại_hình đẹp hiển_thị màu tốt ram 2gb chơi game liên_quân mượt nhé điểm trừ hàng đặt chờ hàng lâu ơi_ lâu 5 ủng_hộ,0,1,1,1,0,0,1,0,0
140,tốt nhé pin cực trâu game cực mượt,1,0,1,0,0,0,0,0,0
141,máy ngon đẹp lắm ạ mua về ai hỏi máy chụp đẹp thế thank ạ máy cũ update app chạy mượt bản cập_nhật android 11 luôn,1,1,1,0,0,0,0,0,0
142,giao hàng giới_thiệu máy chính hãng full tiếng việt đầy_đủ phụ_kiện sản_phẩm hoạt_động ổn nhé đặt mua mong mãi uy_tín địa_chỉ mua hàng tín cậy lazada nhé,0,0,0,0,0,0,0,0,0
143,máy đẹp phù_hợp mua ông_bà hộp máy cáp sạc tai nghe ốp,0,1,0,0,0,0,0,0,0
144,ngoại_hình ok một điểm bản mĩ nâng dc android 10 khuyên mn mua bản hàn áp yếu xuống nc tạch nhân_viên tư_vấn nhiệt_tình thái_độ,0,1,0,0,0,0,1,0,0
145,vỏ hộp móp gửi sai ính cường_lực chất_lượng o mua giá sell phàn_nàn,0,0,0,0,0,0,0,0,0
146,hàng chính hãng nguyên siu đóng_gói sản_phẩm chắc_chắn,0,0,0,0,0,0,0,0,0
147,lg v40 đẹp 99 99 uy_tín,0,1,0,0,0,0,0,0,0
148,uy_tín giao hàng đúng hẹn máy chất_lượng đúng quảng_cáo chức_năng hoạt_động tốt chạy nhanh mạnh màu_sắc màn_hình nét sáng trong ngoại_hình đẹp xịn nói_chung hài_lòng lắm phong_h m_việc chuyên_nghiệp nhanh_chóng hài_lòng ưng lắm luôn ủng_hộ dành,1,0,1,1,0,0,1,0,0
149,hshsiswj jdjekqma ksksnzwkwl ksma sndowo ksnsnsskks ksmsnsjeks ksksnssnsk,0,0,0,0,0,0,0,0,0
150,ok hop mới nguyên hộp biet lỗi sai thử mới bt thui xin 100xu,0,0,0,0,0,0,0,0,0
151,hàng đẹp máy ổn nhe,0,1,0,0,0,0,0,0,0
152,giao hàng lâu đặt 6 ngày mới hàng hàng nguyên seal dùng ok chất_lượng biết thế_nào,0,0,0,1,0,1,0,0,0
153,máy cũ ngoại_hình đc đẹp ok đáng tiền nhiệt_tình uy_tín,0,1,0,0,1,0,1,0,0
154,máy nhìn đẹp hao bin giá tiền ok đòi_hỏi đc,0,0,0,0,0,0,0,0,0
155,hộp đựng ốp lưng hề ốp lưng,0,0,0,0,0,0,0,1,0
156,hàng mới nguyên seal kích_hoạt dùng ổn_áp thời_lượng pin ok,1,1,0,0,0,1,0,0,0
157,đặt_hàng màu trắng giao màu xám bán hàng đúng giữ uy_tín,0,0,0,0,0,0,1,0,0
158,máy ok xài cug ổn vs giá tầm pin tụt nhanh xài lâu xem,0,0,0,0,0,0,0,0,0
159,hàng tuyệt_vời chủ thân_thiện thích tuyệt_vời,0,0,0,0,0,0,1,0,0
160,chọn j t giao cực nhanh luôn ý hàng đúng chất_lượng thích lắm tưởng nhỏ nhỏ ai dè bự hú_hồn uổng công đặt hn ship hcm ok lắm ạ hôm mua phụ_huynh một đọc báo rõ tư_vấn nhiệt_tình chế_độ bh ok cảm_ơn,0,0,0,0,0,0,1,0,0
161,đầu_tiên mua điện_thoại online sử_dụng gần tuần mới đánh_giá nhìn_chung sản_phẩm mới đẹp mượt đầy_đủ tem niêm_phong tuy_nhiên điện_thoại lỗi pin 2p mất pin biết hỗ_trợ giải_quyết vấn_đề hay ạ cảm_ơn,1,1,1,0,0,0,0,0,0
162,máy chạy mượt sước méo 1chút vấn_đề máy cũ nhanh hết pin mức giá nhu_cầu sử_dụng xem phim giải_trí ok nhé,0,0,0,0,0,0,0,0,0
163,chuẩn máy đẹp lắm ngoại_hình bắt_mắt cầm đầm tay chức_năng ổn_định mọi ứng_dụng hoạt_động tốt pin trâu_bò luôn nha anh_em làm_ăn oke nhân_viên tư_vấn nhiệt_tình an_tâm sử_dụng sản_phẩm mọi người mua,1,1,1,0,0,0,1,0,0
164,người bán giao hàng nhanh_chóng sp chất_lượng đúng hình_ảnh mô_tả hết pin nhanh chụp ảnh ok trong tầm giá bộ sưu_tập ảnh bts đi kèm,1,0,0,1,0,0,0,0,0
165,ngoài móp nhung hợp bên vận_chuyển hàng ok nha,0,0,0,0,0,0,0,0,0
166,giao hàng nhanh gói hàng cẩn_thận mua giá tốt sale hoàn xu cấu_hình máy giá tốt máy_ảnh rõ nét lắm đủ dùng nhu_cầu cơ_bản màu_sắc tươi_sáng vân tay quét nhạy,1,0,0,1,1,0,0,0,0
167,mua gần 10 ipad nhiệt_tình uy_tín chất_lượng ủng_hộ lâu_dài,0,0,0,0,0,0,1,0,0
168,em nhận hàng p nhé sản_phẩm nhận đẹp_mắt chất_lượng chê đâu cấu_hình cao mạnh giá tiền test chức_năng ổn giá_cả hợp túi_tiền vui nhận hàng đúng quảng_cáo giới_thiệu người_thân ủng_hộ uy_tín,0,0,0,0,0,0,0,0,0
169,màn chấm mờ nói_chung trong tầm giá ghét thằng giao hàng hôi ngu dẫu_sao thank,1,0,0,0,0,0,0,0,0
170,máy đẹp bước_đầu o gói hàng siêu ỹ dán màn_hình chấm b bụi hay xước dùng thời_gian ps j tức_là máy o thans sh,0,0,0,0,0,0,0,0,0
171,xác_nhận đơn chuẩn_bị hàng đến giao hàng nhanh đặt_hàng thích nhất nhanh gọn lẹ đóng hàng chắc_chắn,0,0,0,1,0,0,0,0,0
172,trầy mặt,0,1,0,0,0,0,0,0,0
173,đóng hàng đẹp máy chất lừ máy mới_tinh nguyên mùi nhà_sản_xuất gửi hàng siêu nhanh,0,1,0,1,0,0,0,0,0
